playerID,yearID,gameNum,gameID,teamID,lgID,GP,startingPos
abramcj01,2024,0,ALS202407160,WAS,NL,1,
abreujo02,2018,0,NLS201807170,CHA,AL,1,3
abreujo02,2019,0,ALS201907090,CHA,AL,1,
acunaro01,2019,0,ALS201907090,ATL,NL,1,8
acunaro01,2021,0,NLS202107130,ATL,NL,0,
acunaro01,2022,0,NLS202207190,ATL,NL,1,9
acunaro01,2023,0,ALS202307110,ATL,NL,1,9
aguilje01,2018,0,NLS201807170,MIL,NL,1,
albieoz01,2018,0,NLS201807170,ATL,NL,1,
albieoz01,2021,0,NLS202107130,ATL,NL,1,
albieoz01,2023,0,ALS202307110,ATL,NL,1,
alcansa01,2019,0,ALS201907090,MIA,NL,1,
alcansa01,2022,0,NLS202207190,MIA,NL,1,
alonspe01,2019,0,ALS201907090,NYN,NL,1,
alonspe01,2022,0,NLS202207190,NYN,NL,1,
alonspe01,2023,0,ALS202307110,NYN,NL,1,
alonspe01,2024,0,ALS202407160,NYN,NL,1,
alonsyo01,2017,0,NLS201707110,OAK,AL,1,
altuvjo01,2015,0,NLS201507140,HOU,AL,1,4
altuvjo01,2016,0,ALS201607120,HOU,AL,1,4
altuvjo01,2017,0,NLS201707110,HOU,AL,1,4
altuvjo01,2018,0,NLS201807170,HOU,AL,1,4
altuvjo01,2021,0,NLS202107130,HOU,AL,0,
altuvjo01,2022,0,NLS202207190,HOU,AL,0,
altuvjo01,2024,0,ALS202407160,HOU,AL,0,
alvaryo01,2022,0,NLS202207190,HOU,AL,0,
alvaryo01,2023,0,ALS202307110,HOU,AL,0,
alvaryo01,2024,0,ALS202407160,HOU,AL,1,10
anderti01,2021,0,NLS202107130,CHA,AL,0,
anderti01,2022,0,NLS202207190,CHA,AL,1,6
anderty01,2022,0,NLS202207190,LAN,NL,0,
anderty01,2024,0,ALS202407160,LAA,AL,0,
archech01,2015,0,NLS201507140,TBA,AL,1,
archech01,2017,0,NLS201707110,TBA,AL,0,
arciaor01,2023,0,ALS202307110,ATL,NL,1,6
arenano01,2015,0,NLS201507140,COL,NL,1,
arenano01,2016,0,ALS201607120,COL,NL,1,
arenano01,2017,0,NLS201707110,COL,NL,1,5
arenano01,2018,0,NLS201807170,COL,NL,1,5
arenano01,2019,0,ALS201907090,COL,NL,1,5
arenano01,2021,0,NLS202107130,SLN,NL,1,5
arenano01,2022,0,NLS202207190,SLN,NL,0,
arenano01,2023,0,ALS202307110,SLN,NL,1,5
arozara01,2023,0,ALS202307110,TBA,AL,1,7
arraelu01,2022,0,NLS202207190,MIN,AL,1,
arraelu01,2023,0,ALS202307110,MIA,NL,1,4
arraelu01,2024,0,ALS202407160,SDN,NL,0,
arrieja01,2016,0,ALS201607120,CHN,NL,0,
baezja01,2018,0,NLS201807170,CHN,NL,1,4
baezja01,2019,0,ALS201907090,CHN,NL,1,6
barnema01,2021,0,NLS202107130,BOS,AL,1,
bassich01,2021,0,NLS202107130,OAK,AL,1,
bauertr01,2018,0,NLS201807170,CLE,AL,0,
bautife01,2023,0,ALS202307110,BAL,AL,1,
bautijo02,2015,0,NLS201507140,TOR,AL,0,
bednada01,2022,0,NLS202207190,PIT,NL,1,
bednada01,2023,0,ALS202307110,PIT,NL,0,
bellico01,2017,0,NLS201707110,LAN,NL,1,
bellico01,2019,0,ALS201907090,LAN,NL,1,9
belljo02,2019,0,ALS201907090,PIT,NL,1,10
beltbr01,2016,0,ALS201607120,SFN,NL,1,
beltrca01,2016,0,ALS201607120,NYA,AL,1,
beninan01,2022,0,NLS202207190,KCA,AL,1,
berrijo01,2018,0,NLS201807170,MIN,AL,1,
berrijo01,2019,0,ALS201907090,MIN,AL,1,
betande01,2015,0,NLS201507140,NYA,AL,1,
betande01,2016,0,ALS201607120,NYA,AL,1,
betande01,2017,0,NLS201707110,NYA,AL,1,
bettsmo01,2016,0,ALS201607120,BOS,AL,1,9
bettsmo01,2017,0,NLS201707110,BOS,AL,1,8
bettsmo01,2018,0,NLS201807170,BOS,AL,1,9
bettsmo01,2019,0,ALS201907090,BOS,AL,1,
bettsmo01,2021,0,NLS202107130,LAN,NL,0,
bettsmo01,2022,0,NLS202207190,LAN,NL,1,8
bettsmo01,2023,0,ALS202307110,LAN,NL,1,8
bettsmo01,2024,0,ALS202407160,LAN,NL,0,
bichebo01,2021,0,NLS202107130,TOR,AL,1,
bichebo01,2023,0,ALS202307110,TOR,AL,1,
biebesh01,2019,0,ALS201907090,CLE,AL,1,
biebesh01,2021,0,NLS202107130,CLE,AL,0,
blackch02,2017,0,NLS201707110,COL,NL,1,8
blackch02,2018,0,NLS201807170,COL,NL,1,
blackch02,2019,0,ALS201907090,COL,NL,1,
blackpa01,2022,0,NLS202207190,OAK,AL,1,
bogaexa01,2016,0,ALS201607120,BOS,AL,1,6
